,Unnamed: 0,protein,ligand,type,value,unit,smiles
0,0,lps+nigericin thp-1 il-1β,2,IC50,17,nM,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccccc1
1,1,lps+nigericin thp-1 il-1β,3,IC50,25,nM,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(F)c1
2,2,lps+nigericin thp-1 il-1β,4,IC50,52,nM,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(C(F)(F)F)c1
3,3,lps+nigericin thp-1 il-1β,5,IC50,81,nM,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(CN)c1
4,4,lps+nigericin thp-1 il-1β,6,IC50,>20000,nM,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cccc(N)c1
10,11,lps+nigericin thp-1 il-1β,9,IC50,198,nM,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccccc1F
11,12,lps+nigericin thp-1 il-1β,10,IC50,>6000,nM,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccc(F)cc1
12,13,lps+nigericin thp-1 il-1β,11,IC50,>20000,nM,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1c(F)cccc1F
13,14,lps+nigericin thp-1 il-1β,12,IC50,14,nM,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1cc(F)cc(C#N)c1
14,15,lps+nigericin thp-1 il-1β,13,IC50,28,nM,CCOc1cc(C(=O)N(C)Cc2cccc3cn[nH]c23)ccc1-c1ccc(F)c(F)c1
22,24,lps+nigericin thp-1 il-1β,21,IC50,33,nM,CCOc1cc(C(=O)N(C)Cc2ccc(F)c3cn[nH]c23)ccc1-c1cccc(F)c1
24,26,lps+nigericin thp-1 il-1β,23,IC50,269,nM,CCOc1cc(C(=O)N(C)Cc2ccc(CN)c3cn[nH]c23)ccc1-c1cccc(F)c1
25,27,lps+nigericin thp-1 il-1β,24,IC50,290,nM,CCOc1cc(C(=O)N(C)Cc2ccc(Cl)c3cn[nH]c23)ccc1-c1cccc(F)c1
26,28,lps+nigericin thp-1 il-1β,25,IC50,625,nM,CCOc1cc(C(=O)N(C)Cc2ccc(OC)c3cn[nH]c23)ccc1-c1cccc(F)c1
29,31,lps+nigericin thp-1 il-1β,28,IC50,22,nM,CCOc1cc(C(=O)N(C)Cc2ccc(C)c3cn[nH]c23)ccc1-c1cccc(F)c1
0,0,thp-1 pyroptosis,Compound 19,IC50,0.4,nM,CCN1CCC[C@@H](Nc2nc3nc(-c4c(C)cc(Cl)cc4O)ccc3o2)C1
1,1,thp-1 pyroptosis,Compound 20B,IC50,0.5,nM,Cc1cc(Cl)cc(O)c1-c1ccc2oc(N3CC[C@H]4CCN(C)C[C@H]43)nc2n1
2,2,thp-1 pyroptosis,Compound 21,IC50,0.6,nM,CCN1CCC[C@H](Nc2nc3nc(-c4c(C)cc(Cl)c(F)c4O)ccc3o2)C1
3,3,thp-1 pyroptosis,Compound 41,IC50,0.6,nM,Cc1cc(Cl)cc(O)c1-c1ccc2oc(N[C@H]3CCCN4CCC[C@H]34)nc2n1
4,4,thp-1 pyroptosis,Compound 86,IC50,0.6,nM,COC(=O)CCN1CCC[C@H](Nc2nc3nc(-c4c(C)cc(Cl)cc4O)ccc3o2)C1
5,5,thp-1 pyroptosis,Compound 113,IC50,0.5,nM,CCN1CCC[C@H](Nc2nc3nc(-c4c(C)cc(Cl)cc4O)ccc3o2)C1
0,0,lps+atp j774a.1 il-1β,2,IC50,0.79,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2ccccc2OCCC)C(=O)Cc2ccsc2)cc1
2,2,lps+atp j774a.1 il-1β,4,IC50,0.68,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2O)C(=O)Cc2ccsc2)cc1
3,3,lps+atp j774a.1 il-1β,5,IC50,1.13,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2N)C(=O)Cc2ccsc2)cc1
4,4,lps+atp j774a.1 il-1β,6,IC50,0.46,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2C(F)(F)F)C(=O)Cc2ccsc2)cc1
5,5,lps+atp j774a.1 il-1β,7,IC50,0.3,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2[N+](=O)[O-])C(=O)Cc2ccsc2)cc1
6,6,lps+atp j774a.1 il-1β,8,IC50,0.34,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cccc3c2OCO3)C(=O)Cc2ccsc2)cc1
7,7,lps+atp j774a.1 il-1β,9,IC50,2.49,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2ccco2)C(=O)Cc2ccsc2)cc1
8,8,lps+atp j774a.1 il-1β,10,IC50,0.66,uM,CCCOc1ccc(Cl)cc1CN(CCc1ccc(S(=O)(=O)NCC(C)(C)C)cc1)C(=O)CC1=C=[SH]C=C1
9,9,lps+atp j774a.1 il-1β,11,IC50,0.32,uM,C#CCN(C)S(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2ccsc2)cc1
11,11,lps+atp j774a.1 il-1β,13,IC50,0.19,uM,C#CCS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2ccsc2)cc1
12,12,lps+atp j774a.1 il-1β,14,IC50,0.75,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2ccsc2)Cc2cc(Cl)ccc2OCCC)cc1
13,13,lps+atp j774a.1 il-1β,15,IC50,1.17,uM,C#C/C=N/S(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)CCCc2ccsc2)cc1
14,14,lps+atp j774a.1 il-1β,16,IC50,0.28,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2ccc(F)cc2)cc1
15,15,lps+atp j774a.1 il-1β,17,IC50,0.21,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2csc3ccccc23)cc1
16,16,lps+atp j774a.1 il-1β,18,IC50,0.13,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2csc3ccccc23)cc1
17,17,lps+atp j774a.1 il-1β,19,IC50,0.12,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2ccc(F)cc2)cc1
18,18,lps+atp j774a.1 il-1β,20,IC50,0.62,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2ccc(O)cc2)cc1
19,19,lps+atp j774a.1 il-1β,21,IC50,0.76,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2ccc([N+](=O)[O-])cc2)cc1
20,20,lps+atp j774a.1 il-1β,22,IC50,2.49,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)cc1
21,21,lps+atp j774a.1 il-1β,23,IC50,0.51,uM,C#CCNS(=O)(=O)c1ccc(CCN(Cc2cc(Cl)ccc2OCCC)C(=O)c2csc3c2CCCC3)cc1
22,22,lps+atp j774a.1 il-1β,42,IC50,1.35,uM,CCCOc1ccc(Cl)cc1CN(CCc1ccc(S(=O)(=O)N2CCC2)cc1)C(=O)Cc1ccc(F)cc1
