,Unnamed: 0,protein,ligand,type,value,unit,smiles
8,8,lps+nigericin thp-m il-1β,7g,IC50,2.38,uM,O=C(Nc1c2c(cc3c1CCC3)CCC2)NS(=O)(=O)c1ccc(N2CCN(CCO)CC2)c2nonc12
9,9,lps+nigericin thp-m il-1β,7h,IC50,0.636,uM,CN(C)[C@@H]1CCCC[C@H]1N(C)c1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c2nonc12
10,10,lps+nigericin thp-m il-1β,7i,IC50,0.061,uM,CSc1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c2nonc12
11,11,lps+nigericin thp-m il-1β,15,IC50,9.18,uM,CN(C)c1cccc2c(S(=O)(=O)NC(=O)Nc3c4c(cc5c3CCC5)CCC4)cccc12
12,12,lps+nigericin thp-m il-1β,13a,IC50,0.049,uM,CN(C)c1ccc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c2nsnc12
0,0,lps+atp j774a.1 il-1β,3,IC50,0.86,uM,COCCOc1ccc(Cl)cc1CN(C(=O)Cc1ccsc1)c1ccccc1-c1ccc(NC(=O)[C@@H]2CCC(=O)N2)cc1
1,1,lps+atp j774a.1 il-1β,5,IC50,0.85,uM,CCC(=O)Nc1ccc(-c2ccccc2N(Cc2cc(Cl)ccc2OCCOC)C(=O)Cc2ccsc2)cc1
2,2,lps+atp j774a.1 il-1β,6,IC50,1.03,uM,CCCC(=O)Nc1ccc(-c2ccccc2N(Cc2cc(Cl)ccc2OCCOC)C(=O)Cc2ccsc2)cc1
3,3,lps+atp j774a.1 il-1β,7,IC50,0.59,uM,CCCCCC(=O)Nc1ccc(-c2ccccc2N(Cc2cc(Cl)ccc2OCCOC)C(=O)Cc2ccsc2)cc1
4,4,lps+atp j774a.1 il-1β,13,IC50,0.31,uM,COCCOc1ccc(Cl)cc1CN(C(=O)Cc1ccsc1)c1ccccc1-c1ccc(NC(=O)CBr)cc1
5,5,lps+atp j774a.1 il-1β,18,IC50,0.65,uM,CCC(=O)Nc1ccc(-c2ccccc2N(Cc2cc(Cl)ccc2OCCOC)C(=O)Cc2ccc(F)cc2)cc1
6,6,lps+atp j774a.1 il-1β,19,IC50,0.34,uM,CCC(=O)Nc1ccc(-c2ccccc2N(Cc2cc(Cl)ccc2OCCOC)C(=O)c2ccc(F)cc2)cc1
7,7,lps+atp j774a.1 il-1β,24,IC50,0.55,uM,CCC(=O)Nc1ccc(-c2ccccc2N(Cc2cc(Cl)ccc2OCC(C)(F)F)C(=O)Cc2ccsc2)cc1
8,8,lps+atp j774a.1 il-1β,H28,IC50,0.57,uM,CCCNS(=O)(=O)c1ccc(-c2ccccc2N(Cc2ccc(C(F)(F)F)cc2)C(=O)Cc2ccsc2)cc1
9,9,lps+atp j774a.1 il-1β,H20,IC50,0.58,uM,CCCNS(=O)(=O)c1ccc(-c2ccccc2N(Cc2cc(Cl)ccc2OCCC)C(=O)Cc2ccsc2)cc1
10,10,lps+atp j774a.1 il-1β,MCC950,IC50,0.015,uM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1
11,11,nlrp3,19,Kd,473.85,nM,CCC(=O)Nc1ccc(-c2ccccc2N(Cc2cc(Cl)ccc2OCCOC)C(=O)c2ccc(F)cc2)cc1
0,0,lps+msu thp-1-m il-1β,MCC950,IC50,0.027,uM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1
1,1,lps+msu thp-1-m il-1β,11a,IC50,>1,uM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc(Br)c2OC2CCCC2)CCC3)c1
2,2,lps+msu thp-1-m il-1β,11b,IC50,0.031,uM,CC(C)c1cc(I)cc(C(C)C)c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1
3,3,lps+msu thp-1-m il-1β,11c,IC50,0.076,uM,Cc1cccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1
4,4,lps+msu thp-1-m il-1β,11d,IC50,0.006,uM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1
5,5,lps+msu thp-1-m il-1β,11e,IC50,>1,uM,CC(C)(C)c1cc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)cc(C(C)(C)C)c1
6,6,lps+msu thp-1-m il-1β,11f,IC50,0.564,uM,Cc1cc(F)ccc1-c1ccc2c(c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1)CCC2
7,7,lps+msu thp-1-m il-1β,11g,IC50,>1,uM,CCCCc1ccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)cc1
8,8,lps+msu thp-1-m il-1β,11h,IC50,0.357,uM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(OC(F)(F)F)c3)ccc3c2CCC3)c1
9,9,lps+msu thp-1-m il-1β,11i,IC50,0.027,uM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c(-c3ccnc(F)c3)ccc3c2CCC3)c1
10,10,lps+msu thp-1-m il-1β,11j,IC50,>1,uM,COc1cccc(OC)c1-c1ccc2c(c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1)CCC2
11,11,lps+msu thp-1-m il-1β,11k,IC50,>1,uM,CN(C)c1cccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1
12,12,lps+msu thp-1-m il-1β,11l,IC50,0.084,uM,CCCCNC(=O)c1cccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1
13,13,lps+msu thp-1-m il-1β,11m,IC50,0.287,uM,CCCCOc1cccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1
14,14,lps+msu thp-1-m il-1β,11n,IC50,0.072,uM,CCOc1ccc2cc(-c3ccc4c(c3NC(=O)NS(=O)(=O)c3cc(C(C)(C)O)co3)CCC4)ccc2c1
15,15,lps+msu thp-1-m il-1β,11o,IC50,>1,uM,CC(C)c1cccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1
16,16,lps+msu thp-1-m il-1β,11p,IC50,>1,uM,CCCCNS(=O)(=O)c1cccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1
17,17,lps+msu thp-1-m il-1β,11q,IC50,0.032,uM,COc1cncc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)c1
18,18,lps+msu thp-1-m il-1β,11r,IC50,0.244,uM,COCCOc1ccc(-c2ccc3c(c2NC(=O)NS(=O)(=O)c2cc(C(C)(C)O)co2)CCC3)cc1
19,20,lps+msu thp-1-m il-1β,28a,IC50,0.674,uM,O=C(Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2)NS(=O)(=O)c1cnn2c1OCCC2
20,21,lps+msu thp-1-m il-1β,28b,IC50,>1,uM,O=C(Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2)NS(=O)(=O)CC1CCCCC1
21,22,lps+msu thp-1-m il-1β,28c,IC50,>1,uM,CC(C)(O)CS(=O)(=O)NC(=O)Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2
22,23,lps+msu thp-1-m il-1β,28d,IC50,0.334,uM,COC(=O)c1csc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1
23,24,lps+msu thp-1-m il-1β,28e,IC50,0.012,uM,CC(C)(O)c1csc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1
24,25,lps+msu thp-1-m il-1β,28f,IC50,>1,uM,CN(C)Cc1ccc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)cc1
25,26,lps+msu thp-1-m il-1β,28g,IC50,0.26,uM,CN[C@@H]1COc2c(S(=O)(=O)NC(=O)Nc3c(-c4ccc([N+](=O)[O-])cc4)ccc4c3CCC4)cnn2C1
26,27,lps+msu thp-1-m il-1β,28h,IC50,>1,uM,Cn1ccc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)n1
27,28,lps+msu thp-1-m il-1β,28i,IC50,0.426,uM,CC(=O)c1ccc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)cc1
28,29,lps+msu thp-1-m il-1β,28j,IC50,>1,uM,Cc1ccc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)cc1
29,30,lps+msu thp-1-m il-1β,28k,IC50,0.403,uM,Nc1cccc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1
30,31,lps+msu thp-1-m il-1β,28l,IC50,>1,uM,O=C(Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2)NS(=O)(=O)N1CCOCC1
31,32,lps+msu thp-1-m il-1β,28m,IC50,0.212,uM,O=C(Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2)NS(=O)(=O)c1cccc(Br)n1
32,33,lps+msu thp-1-m il-1β,28n,IC50,>1,uM,Cc1nn(C)cc1S(=O)(=O)NC(=O)Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2
33,34,lps+msu thp-1-m il-1β,28o,IC50,>1,uM,O=C(Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2)NS(=O)(=O)c1ccc2ccccc2c1
34,35,lps+msu thp-1-m il-1β,28p,IC50,>1,uM,O=C(Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2)NS(=O)(=O)CCO
35,36,lps+msu thp-1-m il-1β,28q,IC50,>1,uM,O=C(Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2)NS(=O)(=O)c1cccnc1
36,37,lps+msu thp-1-m il-1β,28r,IC50,0.355,uM,O=C(Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2)NS(=O)(=O)c1ccccc1
37,38,lps+msu thp-1-m il-1β,28s,IC50,0.054,uM,O=C(Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2)NS(=O)(=O)c1cccs1
38,39,lps+msu thp-1-m il-1β,28t,IC50,>1,uM,O=C(Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2)NS(=O)(=O)N1CCCC1
39,40,lps+msu thp-1-m il-1β,28u,IC50,>1,uM,Cc1ccsc1S(=O)(=O)NC(=O)Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2
40,41,lps+msu thp-1-m il-1β,28v,IC50,>1,uM,O=C(Nc1c(-c2ccc([N+](=O)[O-])cc2)ccc2c1CCC2)NS(=O)(=O)c1cc(Br)cs1
41,42,nlrp3 protein,MC1,Kd,19.3,nM,CC(C)(O)c1csc(S(=O)(=O)NC(=O)Nc2c(-c3ccc([N+](=O)[O-])cc3)ccc3c2CCC3)c1
4,4,nlrp3 thp-1 pyroptosis,Compound 5a,IC50,1.2,nM,[H][C@]12CCN(C)C[C@@]1([H])N(c1ccc(-c3c(C)cc(C#N)cc3O)nn1)CC2
5,5,nlrp3 human whole blood il-1β,Compound 5a,IC50,4.6,nM,[H][C@]12CCN(C)C[C@@]1([H])N(c1ccc(-c3c(C)cc(C#N)cc3O)nn1)CC2
0,0,nlrp3,MCC950,Kd,40.4,nM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1
1,1,lps+msu thp-1-m il-1β,MCC950,IC50,0.019,uM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1
23,23,nlrp3,SN3-1,Kd,6.9,nM,CC(C)(O)c1csc(S(=O)(=O)NC(=O)Nc2c(-c3cccc(Cl)c3Cl)ccc3c2CCC3)c1
0,0,thp-1 pyroptosis,Compound 1,IC50,2.3,nM,Cc1nc(N[C@@H]2CCCN(CCO)C2)nnc1-c1ccc2c(c1O)CCO2
1,1,thp-1 pyroptosis,Compound 2,IC50,13,nM,Cc1nc(N[C@H]2CCCN(CC(C)O)C2)nnc1-c1ccc2c(c1O)CCO2
2,2,thp-1 pyroptosis,Compound 3,IC50,16,nM,Cc1nc(N[C@@H]2CCCN(CCCO)C2)nnc1-c1ccc2c(c1O)CCO2
3,3,thp-1 pyroptosis,Compound 9,IC50,4.2,nM,Cc1nc(N[C@@H]2CCCN(CCCC(=O)O)C2)nnc1-c1ccc2c(c1O)CCO2
4,4,thp-1 pyroptosis,Compound 11,IC50,16,nM,Cc1nc(N[C@H]2CCCN(CCc3ncco3)C2)nnc1-c1ccc2c(c1O)CCO2
5,5,thp-1 pyroptosis,Compound 13,IC50,5,nM,Cc1nc(N[C@H]2CCCN(CCCC(=O)N3CCCC3)C2)nnc1-c1ccc2c(c1O)CCO2
0,0,lps+nigericin j774a.1 il-1β,NIC-0102,pIC50,7.55,nM,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1c(F)cccc1F)B(O)O
9,9,lps+nigericin j774a.1 il-1β,9,pIC50,< 6.00,uM,CC(C)C[C@H](NC(=O)c1cc(Cl)ccc1Cl)B(O)O
10,10,lps+nigericin j774a.1 il-1β,MCC950,IC50,7.66,uM,CC(C)(O)c1coc(S(=O)(=O)NC(=O)Nc2c3c(cc4c2CCC4)CCC3)c1
11,11,lps+nigericin j774a.1 il-1β,11,pIC50,6.7, ,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cc(Cl)ccc1Cl)C(C)C)B(O)O
12,12,lps+nigericin j774a.1 il-1β,12,pIC50,6.46, ,CCN(C)[C@H](NC(=O)c1cc(Cl)ccc1Cl)C(=O)N[C@@H](CC(C)C)B(O)O
13,13,lps+nigericin j774a.1 il-1β,13,pIC50,6.63, ,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cc(Cl)ccc1Cl)c1ccccc1)B(O)O
14,14,lps+nigericin j774a.1 il-1β,14,pIC50,7.09, ,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cc(Cl)ccc1Cl)B(O)O
15,15,lps+nigericin j774a.1 il-1β,15,pIC50,6.29, ,CC(C)C[C@H](NC(=O)[C@H](CO)NC(=O)c1cc(Cl)ccc1Cl)B(O)O
16,16,lps+nigericin j774a.1 il-1β,16,pIC50,7.1, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)c1cc(Cl)ccc1Cl)B(O)O
17,17,lps+nigericin j774a.1 il-1β,17,pIC50,6.31, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)c1cc(Cl)ccc1Cl)B(O)O
18,18,lps+nigericin j774a.1 il-1β,18,pIC50,7.31, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccn1)B(O)O
19,19,lps+nigericin j774a.1 il-1β,19,pIC50,6.71, ,Cc1cncc(C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CC(C)C)B(O)O)n1
20,20,lps+nigericin j774a.1 il-1β,20,pIC50,6.06, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnc2ccccc2n1)B(O)O
21,21,lps+nigericin j774a.1 il-1β,21,pIC50,7.19, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1nc(Cl)ccc1Cl)B(O)O
22,22,lps+nigericin j774a.1 il-1β,22,pIC50,7.5, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cccc(Cl)c1Cl)B(O)O
23,23,lps+nigericin j774a.1 il-1β,23,pIC50,7.13, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1c(Cl)cccc1Cl)B(O)O
24,24,lps+nigericin j774a.1 il-1β,24,pIC50,6.82, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(Cl)cc1Cl)B(O)O
25,25,lps+nigericin j774a.1 il-1β,25,pIC50,7.12, ,COc1ccc(Cl)cc1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)B(O)O
26,26,lps+nigericin j774a.1 il-1β,26,pIC50,7.07, ,COc1ccc(F)cc1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)B(O)O
27,27,lps+nigericin j774a.1 il-1β,27,pIC50,7.55, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1c(F)cccc1F)B(O)O
28,28,lps+nigericin j774a.1 il-1β,28,pIC50,6.85, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(F)cc1F)B(O)O
29,29,lps+nigericin j774a.1 il-1β,29,pIC50,7.31, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cccc(F)c1F)B(O)O
30,30,lps+nigericin j774a.1 il-1β,30,pIC50,7.04, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(F)ccc1F)B(O)O
31,31,lps+nigericin j774a.1 il-1β,31,ppIC50,7.34, ,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cl)ccc1F)B(O)O
0,0,nigericin thp-1 il-1β,NP3-562,IC50,214,nM,CN1CCC[C@@H](NC(=O)Cn2nc(C(C)(C)O)n3c(cc4sc(Cl)cc43)c2=O)C1
1,1,nigericin thp-1 il-1β,1,IC50,0.625,uM,CCc1nn(CC(=O)Nc2cccc(C(C)=O)c2)c(=O)c2cc3sccc3n12
2,2,nigericin thp-1 il-1β,2,IC50,0.33,uM,CCc1nn(CC(=O)Nc2ccccc2)c(=O)c2cc3sccc3n12
3,3,nigericin thp-1 il-1β,3,IC50,2.62,uM,CCc1nn(CC(=O)NC)c(=O)c2cc3sccc3n12
4,4,nigericin thp-1 il-1β,4,IC50,82,uM,CCc1nn(CC(=O)N(C)c2ccccc2)c(=O)c2cc3sccc3n12
5,5,nigericin thp-1 il-1β,5,IC50,0.25,uM,CCc1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12
6,6,nigericin thp-1 il-1β,6,IC50,0.104,uM,CCc1nn(CC(=O)Nc2ccncn2)c(=O)c2cc3sccc3n12
7,7,nigericin thp-1 il-1β,7,IC50,0.043,uM,CCc1nn(CC(=O)Nc2cccc(O)c2)c(=O)c2cc3sccc3n12
8,8,nigericin thp-1 il-1β,8,IC50,1.15,uM,CCc1nn(CC(=O)NC2CCCNC2)c(=O)c2cc3sccc3n12
9,10,nigericin thp-1 il-1β,9,IC50,1.9,uM,O=C(Cn1ncn2c(cc3sccc32)c1=O)Nc1cccnc1
10,11,nigericin thp-1 il-1β,10,IC50,1.72,uM,CCCc1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12
11,12,nigericin thp-1 il-1β,11,IC50,0.069,uM,CC(C)c1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12
12,13,nigericin thp-1 il-1β,12,IC50,0.115,uM,O=C(Cn1nc(C2CC2)n2c(cc3sccc32)c1=O)Nc1cccnc1
13,14,nigericin thp-1 il-1β,13,IC50,0.086,uM,CC(C)(O)c1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12
14,15,nigericin thp-1 il-1β,14,IC50,0.227,uM,CC(C)c1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sc(F)cc3n12
15,16,nigericin thp-1 il-1β,15,IC50,0.143,uM,CC(C)c1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sc(Cl)cc3n12
16,17,lps/atp human whole blood il-1β,5,IC50,3.76,uM,CCc1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12
17,18,lps/atp human whole blood il-1β,9,IC50,7.28,uM,O=C(Cn1ncn2c(cc3sccc32)c1=O)Nc1cccnc1
18,19,lps/atp human whole blood il-1β,10,IC50,15.9,uM,CCCc1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12
19,20,lps/atp human whole blood il-1β,11,IC50,1.98,uM,CC(C)c1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12
20,21,lps/atp human whole blood il-1β,12,IC50,3.14,uM,O=C(Cn1nc(C2CC2)n2c(cc3sccc32)c1=O)Nc1cccnc1
21,22,lps/atp human whole blood il-1β,13,IC50,1.13,uM,CC(C)(O)c1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sccc3n12
22,23,lps/atp human whole blood il-1β,14,IC50,8.8,uM,CC(C)c1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sc(F)cc3n12
23,24,lps/atp human whole blood il-1β,15,IC50,9.75,uM,CC(C)c1nn(CC(=O)Nc2cccnc2)c(=O)c2cc3sc(Cl)cc3n12
24,27,nigericin thp-1 il-1β,16,IC50,0.107,uM,CC(C)c1nn(CC(=O)N[C@@H]2CCCNC2)c(=O)c2cc3sc(Cl)cc3n12
25,28,lps/atp human whole blood il-1β,16,IC50,1.02,uM,CC(C)c1nn(CC(=O)N[C@@H]2CCCNC2)c(=O)c2cc3sc(Cl)cc3n12
26,29,nigericin thp-1 il-1β,17,IC50,0.084,uM,CC(C)c1nn(CC(=O)N[C@@H]2CCCN(C)C2)c(=O)c2cc3sc(Cl)cc3n12
27,30,lps/atp human whole blood il-1β,17,IC50,0.701,uM,CC(C)c1nn(CC(=O)N[C@@H]2CCCN(C)C2)c(=O)c2cc3sc(Cl)cc3n12
28,31,nigericin thp-1 il-1β,18,IC50,0.165,uM,CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2cc3sc(Cl)cc3n12
29,32,lps/atp human whole blood il-1β,18,IC50,3.04,uM,CC(C)c1nn(CC(=O)NC2CCOCC2)c(=O)c2cc3sc(Cl)cc3n12
30,33,nigericin thp-1 il-1β,19,IC50,0.09,uM,CN1CCC[C@@H](NC(=O)Cn2nc(C(C)(C)O)n3c(cc4sc(Cl)cc43)c2=O)C1
31,34,lps/atp human whole blood il-1β,19,IC50,0.214,uM,CN1CCC[C@@H](NC(=O)Cn2nc(C(C)(C)O)n3c(cc4sc(Cl)cc43)c2=O)C1
32,35,nigericin thp-1 il-1β,20,IC50,0.006,uM,CC(C)(O)c1nn(CC(=O)N[C@H]2C[C@@](C)(O)C2)c(=O)c2cc3sc(Cl)cc3n12
33,36,lps/atp human whole blood il-1β,20,IC50,0.093,uM,CC(C)(O)c1nn(CC(=O)N[C@H]2C[C@@](C)(O)C2)c(=O)c2cc3sc(Cl)cc3n12
34,37,nigericin thp-1 il-1β,21,IC50,0.068,uM,CC(C)c1nn(CC(=O)N[C@@H]2CCCN(C)C2)c(=O)c2cc3scnc3n12
35,38,lps/atp human whole blood il-1β,21,IC50,0.5,uM,CC(C)c1nn(CC(=O)N[C@@H]2CCCN(C)C2)c(=O)c2cc3scnc3n12
0,0,thp-m il-1β,Ori,IC50,5.18±0.10,uM,C=C1C(=O)[C@@]23C(CC[C@@H]1[C@H]2O)[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O
1,1,thp-m il-1β,E6,IC50,0.45±0.02,uM,C=C1C(=O)[C@@]23C(CC[C@@H]1[C@H]2OC(=O)Nc1cccc(Cl)c1)[C@@]12CO[C@@]3(O)[C@@H](O)[C@@H]1C(C)(C)CC[C@@H]2O
0,0,lps+atp pms il-1β,5d,IC50,0.273,uM,Cc1cccc2c3c(ccc12)-c1oc2c(c1C(=O)C3=O)CCN(CCN1CCOCC1)C2
1,1,lps+atp pms il-1β,5j,IC50,0.131,uM,Cc1cccc2c3c(ccc12)-c1oc2c(c1C(=O)C3=O)CCN(CCCN1CCOCC1)C2
2,2,lps+atp pms il-1β,10c,IC50,0.368,uM,Cc1cccc2c3c(ccc12)-c1oc2c(c1C(=O)C3=O)CCN(CC(=O)N1CCOCC1)C2
3,3,lps+atp pms il-1β,10f,IC50,0.292,uM,Cc1cccc2c3c(ccc12)-c1oc2c(c1C(=O)C3=O)CCN([C@@H](C)C(=O)N1CCOCC1)C2
4,4,lps+atp pms il-1β,10g,IC50,0.383,uM,Cc1cccc2c3c(ccc12)-c1oc2c(c1C(=O)C3=O)CCN([C@@H](C)C(=O)N1CCN(C)CC1)C2
5,5,lps+atp pms il-1β,12a,IC50,0.114,uM,Cc1cccc2c3c(ccc12)-c1oc2c(c1C(=O)C3=O)CCN(CCO)C2
6,6,lps+atp pms il-1β,12d,IC50,0.065,uM,Cc1cccc2c3c(ccc12)-c1oc2c(c1C(=O)C3=O)CCN([C@H](CO)CCCO)C2
7,7,nlrp3,5j,Kd,5.87,uM,Cc1cccc2c3c(ccc12)-c1oc2c(c1C(=O)C3=O)CCN(CCCN1CCOCC1)C2
0,0,lps+nigericin bmdms il-1β,32,IC50,1.31,uM,COc1cc(C=Cc2ccc(N)cc2)c(C=C[N+](=O)[O-])c(OC)c1
1,1,lps+nigericin bmdms il-1β,47,IC50,0.56,uM,COc1cc(C=Cc2ccc(NC(=O)C3CC3)cc2)c(C=C[N+](=O)[O-])c(OC)c1
2,2,lps+nigericin bmdms il-1β,1,IC50,>10,uM,COc1cc(/C=C/c2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)cc(OC)c1
3,3,lps+nigericin bmdms il-1β,11,IC50,>10,uM,COc1cc(/C=C/c2ccc(OCc3ccc(C(F)(F)F)cc3)cc2)c(-c2cnn[nH]2)c(OC)c1
4,4,lps+nigericin bmdms il-1β,15,IC50,>10,uM,COc1cc(C=Cc2ccc(O)cc2)c(C=C[N+](=O)[O-])c(OC)c1
5,5,lps+nigericin bmdms il-1β,20,IC50,9.68,uM,COc1cc(C=Cc2ccc(OCC(=O)NCc3ccc(Br)cc3)cc2)c(C=C[N+](=O)[O-])c(OC)c1
6,6,lps+nigericin bmdms il-1β,22,IC50,7.68,uM,COc1cc(C=Cc2ccc(OCC(=O)NCc3ccncc3)cc2)c(C=C[N+](=O)[O-])c(OC)c1
7,7,lps+nigericin bmdms il-1β,30,IC50,7.18,uM,CCCCNC(=O)COc1ccc(C=Cc2cc(OC)cc(OC)c2C=C[N+](=O)[O-])cc1
8,8,lps+nigericin bmdms il-1β,32,IC50,1.37,uM,COc1cc(C=Cc2ccc(N)cc2)c(C=C[N+](=O)[O-])c(OC)c1
9,9,lps+nigericin bmdms il-1β,44,IC50,0.76,uM,COc1cc(C=Cc2ccc(NC(=O)CCCl)cc2)c(C=C[N+](=O)[O-])c(OC)c1
10,11,lps+nigericin bmdms il-1β,48,IC50,1.41,uM,COc1cc(C=Cc2ccc(NC(=O)C3CCC3)cc2)c(C=C[N+](=O)[O-])c(OC)c1
11,12,lps+nigericin bmdms il-1β,50,IC50,>10,uM,COc1cc(C=Cc2ccc(NC(=O)C3CCCCC3)cc2)c(C=C[N+](=O)[O-])c(OC)c1
12,13,lps+nigericin bmdms il-1β,Pter,IC50,>10,uM,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1
15,16,nlrp3,47,Kd,263,nM,COc1cc(C=Cc2ccc(NC(=O)C3CC3)cc2)c(C=C[N+](=O)[O-])c(OC)c1
